event_date,tier,z,event_direction,target_week,forecast_origin_close,lead_calendar_days,k_star,bootstrap_loss,p_up,forecast_direction,weekly_actual_direction,event_direction_match
2025-02-10,MAJOR,2.3407,UP,2025-02-10,2025-02-07,3,0.44,0.290,0.750000000000,UP,UP,TRUE
2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,2025-02-07,7,0.44,0.290,0.750000000000,UP,UP,FALSE
2025-02-18,MAJOR,2.1885,UP,2025-02-17,2025-02-14,4,0.40,0.000,1.000000000000,UP,UP,TRUE
2025-03-13,MAJOR,2.1237,UP,2025-03-10,2025-03-07,6,0.86,0.304,1.000000000000,UP,UP,TRUE
2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,2025-03-28,7,0.68,0.308,0.800000000000,UP,DOWN,FALSE
2025-04-09,EXTREME,3.2185,UP,2025-04-07,2025-04-04,5,0.40,0.275,1.000000000000,UP,UP,TRUE
2025-04-10,MAJOR,2.3440,UP,2025-04-07,2025-04-04,6,0.40,0.275,1.000000000000,UP,UP,TRUE
2025-07-21,MAJOR,2.0611,UP,2025-07-21,2025-07-18,3,1.42,0.270,0.000000000000,DOWN,DOWN,FALSE
2025-08-01,MAJOR,2.5481,UP,2025-07-28,2025-07-25,7,1.40,0.318,0.600000000000,UP,UP,TRUE
2025-09-02,MAJOR,2.6673,UP,2025-09-01,2025-08-29,4,0.52,0.304,0.500000000000,UP,UP,TRUE
2025-09-22,MAJOR,2.6254,UP,2025-09-22,2025-09-19,3,0.40,0.288,1.000000000000,UP,UP,TRUE
2025-09-29,MAJOR,2.3040,UP,2025-09-29,2025-09-26,3,1.06,0.265,0.634615384615,UP,UP,TRUE
2025-10-06,MAJOR,2.7911,UP,2025-10-06,2025-10-03,3,0.82,0.234,1.000000000000,UP,UP,TRUE
2025-10-13,MAJOR,2.5043,UP,2025-10-13,2025-10-10,3,0.70,0.211,0.000000000000,DOWN,UP,FALSE
2025-10-16,MAJOR,2.9074,UP,2025-10-13,2025-10-10,6,0.70,0.211,0.000000000000,DOWN,UP,FALSE
2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,2025-10-10,7,0.70,0.211,0.000000000000,DOWN,UP,TRUE
2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,2025-10-17,4,1.12,0.225,0.714285714286,UP,DOWN,FALSE
2025-12-22,EXTREME,4.0174,UP,2025-12-22,2025-12-19,3,1.34,0.204,0.000000000000,DOWN,UP,FALSE
2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,2025-12-26,3,0.82,0.266,0.666666666667,UP,DOWN,FALSE
